,0
0,289774
1,482590
2,828078
3,993419
4,26461
5,895948
6,561507
7,580549
8,347178
9,770746
10,892935
11,347825
12,69665
13,416066
14,264983
15,984714
16,813545
17,969483
18,759471
19,639487
20,300438
21,239329
22,272748
23,182687
24,413506
25,459175
26,312417
27,409681
28,769138
29,200113
30,478944
31,706804
32,147484
33,419242
34,358332
35,164039
36,599991
37,944928
38,899772
39,1761
40,442396
41,970175
42,320046
43,624439
44,948137
45,140784
46,125781
47,768677
48,636585
49,198188
50,337010
51,519786
52,125879
53,748685
54,768394
55,836923
56,335972
57,210772
58,44642
59,364191
60,618298
61,15515
62,224321
63,486399
64,945623
65,255412
66,995256
67,617313
68,341253
69,892385
70,206775
71,873566
72,220105
73,905316
74,114287
75,379198
76,593690
77,551464
78,160634
79,376946
80,649654
81,598675
82,402509
83,462700
84,133026
85,237981
86,844626
87,101969
88,801203
89,568223
90,695955
91,985683
92,443315
93,443489
94,696272
95,228602
96,901572
97,799068
98,993628
99,551410
100,801324
101,147441
102,862170
103,821543
104,483548
105,12897
106,807388
107,405770
108,48893
109,413293
110,915997
111,130896
112,261833
113,570490
114,883151
115,162033
116,955315
117,532806
118,944652
119,587740
120,52393
121,339826
122,614965
123,764507
124,409967
125,602603
126,701647
127,277149
128,512663
129,89498
130,72030
131,221673
132,547553
133,158530
134,250590
135,931640
136,393667
137,467720
138,653475
139,344787
140,900739
141,732169
142,229179
143,792667
144,779960
145,774569
146,496946
147,698159
148,248320
149,812425
150,576217
151,418953
152,128181
153,640486
154,947782
155,726902
156,176882
157,786719
158,800831
159,330553
160,957029
161,27207
162,976853
163,237701
164,294730
165,379677
166,179920
167,518808
168,378872
169,259227
170,900328
171,326549
172,522098
173,406018
174,391830
175,48639
176,282263
177,793955
178,973039
179,439818
180,720787
181,970973
182,610905
183,48852
184,568976
185,723035
186,32142
187,24699
188,77754
189,706824
190,97204
191,470184
192,354011
193,477154
194,395360
195,889253
196,810489
197,798566
198,223845
199,504234
200,958146
201,332402
202,717711
203,799864
204,741459
205,618898
206,139575
207,454402
208,502273
209,132915
210,554466
211,437593
212,506429
213,731581
214,43001
215,415169
216,222098
217,18315
218,543201
219,451448
220,489385
221,154150
222,52646
223,138782
224,176891
225,793879
226,887455
227,677591
228,156517
229,345441
230,201768
231,221540
232,756494
233,401076
234,569081
235,578170
236,572541
237,187949
238,556384
239,84826
240,713001
241,21547
242,973551
243,26639
244,81954
245,31394
246,713668
247,452556
248,212154
249,706420
250,219344
251,679709
252,422437
253,570353
254,999237
255,421355
256,93827
257,854328
258,54534
259,701163
260,599950
261,614286
262,321628
263,107048
264,110818
265,232724
266,851498
267,231618
268,398465
269,250488
270,570537
271,849972
272,753968
273,21408
274,758671
275,275613
276,608179
277,772486
278,510332
279,702545
280,716336
281,111962
282,429019
283,208890
284,243800
285,572706
286,501462
287,684862
288,845758
289,969445
290,841471
291,630539
292,419670
293,861670
294,225920
295,235715
296,949552
297,541624
298,168286
299,942727
300,510375
301,885576
302,579313
303,916860
304,389279
305,767001
306,231160
307,961383
308,327000
309,744682
310,815160
311,793299
312,928482
313,494916
314,160298
315,807949
316,629480
317,207302
318,594354
319,197045
320,671222
321,570050
322,35452
323,515800
324,787748
325,594606
326,829998
327,610955
328,480723
329,642214
330,813159
331,600858
332,598496
333,23738
334,183740
335,223426
336,62006
337,959703
338,174461
339,216636
340,283489
341,766711
342,28582
343,273191
344,582866
345,341707
346,406404
347,858380
348,389548
349,455570
350,884033
351,350105
352,454733
353,805431
354,111947
355,640197
356,900353
357,650858
358,185626
359,536174
360,992293
361,317469
362,675461
363,252384
364,64151
365,600661
366,747872
367,644140
368,489945
369,721074
370,674769
371,23067
372,162186
373,145076
374,53749
375,200567
376,807246
377,719468
378,351974
379,616612
380,107833
381,885597
382,594388
383,691712
384,620217
385,430873
386,327959
387,139427
388,917339
389,836569
390,676512
391,811549
392,349959
393,60117
394,311413
395,21717
396,849154
397,669835
398,289060
399,657067
400,266201
401,205502
402,171203
403,883809
404,349651
405,728858
406,622247
407,982548
408,799193
409,442660
410,192291
411,510588
412,827428
413,960591
414,406139
415,731741
416,107628
417,912735
418,125878
419,710375
420,545025
421,54995
422,852416
423,176114
424,23120
425,241221
426,377583
427,393970
428,329221
429,20694
430,539241
431,386741
432,962455
433,923323
434,181086
435,585037
436,300848
437,863610
438,82600
439,748039
440,545579
441,536751
442,582940
443,869060
444,630267
445,448562
446,2673
447,758538
448,789208
449,130372
450,739174
451,134017
452,726699
453,59336
454,990910
455,185200
456,251056
457,509085
458,893412
459,788177
460,802866
461,955169
462,631867
463,410227
464,857647
465,54773
466,277240
467,994860
468,580874
469,439820
470,157471
471,416272
472,274837
473,275864
474,547503
475,583559
476,414314
477,336058
478,285365
479,855221
480,5686
481,961093
482,355858
483,440476
484,847411
485,943634
486,697585
487,520911
488,574649
489,735608
490,980509
491,131244
492,111879
493,605088
494,910126
495,580553
496,355659
497,222410
498,885963
499,664123
500,115319
501,81147
502,253622
503,932569
504,9956
505,656494
506,437975
507,509096
508,903496
509,910463
510,185851
511,371912
512,149209
513,148602
514,274281
515,656745
516,998459
517,39124
518,995986
519,153576
520,210650
521,256563
522,228055
523,386598
524,291757
525,622342
526,445454
527,278627
528,577567
529,881037
530,430665
531,484138
532,636
533,44042
534,971529
535,126222
536,636695
537,115180
538,945780
539,923535
540,4123
541,536472
542,27448
543,165159
544,117947
545,524160
546,669953
547,673991
548,883379
549,747249
550,293952
551,866405
552,72265
553,699048
554,878665
555,929028
556,518664
557,968518
558,770664
559,559895
560,550570
561,861675
562,746801
563,810378
564,337002
565,256238
566,765468
567,816572
568,261425
569,139137
570,326148
571,268286
572,584461
573,671336
574,629895
575,915317
576,605571
577,712648
578,499129
579,242718
580,407646
581,532936
582,157021
583,491639
584,934291
585,530884
586,804681
587,701046
588,752784
589,300441
590,463486
591,126043
592,427446
593,294388
594,745752
595,960696
596,182745
597,378868
598,810813
599,388852
600,954328
601,656361
602,760619
603,798990
604,375868
605,36972
606,792733
607,540861
608,142768
609,917037
610,239065
611,228254
612,390488
613,52379
614,151792
615,523702
616,482404
617,382271
618,682962
